"AB106","AB107","AB108","AB109","AB110","AB111","AB112","AB113","AB114","AB115","AB116","AB117","AB118","AB119"
"B","F","C","B","G","G","B","G","B","F","B","H","G","H"
"U","F","C","B","G","G","B","F","B","B","B","C","C","B"
"U","F","C","B","C","C","H","A","B","G","B","C","C","H"
"U","G","C","B","G","G","A","F","B","G","B","H","C","C"
"B","G","G","G","G","G","H","H","C","C","B","G","C","C"
"U","F","G","B","G","G","G","F","B","G","B","H","C","C"
"U","G","C","A","G","G","A","B","B","F","C","F","G","G"
"B","G","C","B","G","G","A","A","G","C","B","F","C","C"
"U","F","G","B","G","U","C","H","B","G","B","H","C","G"
"U","G","G","B","G","G","U","A","B","F","C","H","C","C"
"U","F","C","U","G","U","A","U","B","G","B","N","C","C"
"U","G","G","B","G","G","B","H","B","G","C","F","C","G"
"B","F","C","H","G","G","B","H","B","G","B","C","G","B"
"U","F","C","B","G","G","U","H","C","C","B","H","G","B"
"U","G","C","B","G","G","B","A","U","G","B","C","C","C"
"U","G","C","B","G","G","B","F","H","F","B","C","C","C"
"U","F","C","B","G","G","H","F","B","F","B","C","G","G"
"U","C","C","B","C","G","B","H","H","B","C","F","C","C"
"U","G","G","B","G","G","H","A","B","F","B","C","G","C"
"B","G","G","B","C","G","H","F","B","G","C","G","C","C"
"U","F","C","B","G","U","A","A","B","C","B","N","C","U"
"U","F","C","B","G","G","H","F","B","G","C","H","G","C"
"B","G","G","B","G","G","B","G","B","B","B","F","C","C"
"U","F","G","B","G","G","A","H","F","B","B","F","C","U"
"U","F","G","B","G","G","G","A","B","F","C","H","C","C"
"B","G","C","B","G","G","H","G","B","G","C","G","C","C"
"B","G","C","G","G","G","H","G","B","B","B","F","C","C"
"U","F","C","B","G","G","C","A","B","F","B","N","C","C"
"U","F","C","U","G","U","A","U","B","F","B","N","C","U"
"U","G","G","C","G","C","G","F","B","B","B","H","G","C"
"U","G","C","B","G","G","A","G","B","G","C","G","C","C"
"U","G","C","B","C","G","G","G","B","G","C","H","C","H"
"U","G","G","B","G","G","H","F","B","G","B","H","C","U"
"U","G","C","B","G","U","H","H","B","G","C","H","C","C"
"U","F","G","B","G","G","G","F","B","C","C","G","G","G"
"U","C","C","B","G","G","G","A","U","C","C","F","C","B"
"A","G","G","B","G","U","U","G","B","G","B","F","C","C"
"U","G","G","H","G","G","B","H","F","B","C","H","C","C"
"U","G","C","B","G","U","A","A","B","C","C","N","C","C"
"U","F","G","B","G","U","G","F","B","B","B","C","C","H"
"U","C","G","B","G","G","B","A","B","F","B","C","G","C"
"U","G","C","B","G","G","A","G","B","B","C","F","C","G"
"U","G","G","G","G","G","U","H","B","C","C","G","C","G"
"U","F","C","B","G","G","H","F","B","G","B","C","C","H"
"B","G","C","B","G","G","H","A","B","F","B","C","C","C"
"U","C","C","B","G","G","A","A","B","B","B","C","G","C"
"U","G","G","B","G","G","A","F","B","C","C","G","C","C"
"U","G","G","B","G","G","G","A","B","C","C","G","C","C"
"U","G","G","B","G","G","G","F","B","B","B","F","C","C"
"U","G","C","B","C","G","G","H","B","F","B","F","C","C"
"U","F","G","B","C","G","B","G","B","F","B","H","C","C"
"U","F","C","B","G","G","H","A","H","G","B","H","G","C"
"B","G","G","B","G","G","A","F","B","B","C","G","C","G"
"U","G","G","B","G","G","B","F","B","B","C","H","C","C"
"B","G","C","C","G","G","A","F","B","C","C","G","C","C"
"U","G","C","B","G","G","H","F","B","G","B","H","C","C"
"U","G","G","B","G","G","H","A","B","G","C","H","C","C"
"U","G","C","B","C","G","H","A","B","C","C","N","C","C"
"U","F","G","B","G","G","A","G","F","G","C","G","C","C"
"U","F","C","B","G","G","H","G","B","G","B","F","G","U"
"B","F","G","H","G","G","H","G","B","B","C","G","G","H"
"B","G","C","B","G","G","A","H","B","G","C","H","C","G"
"B","G","G","B","C","G","H","F","B","B","C","F","C","C"
"U","G","C","B","G","C","H","H","B","C","C","G","C","C"
"B","G","C","B","G","G","U","A","B","C","C","F","G","C"
"U","G","G","B","G","G","U","F","B","G","C","H","G","B"
"U","F","G","B","G","G","B","F","B","B","B","F","G","U"
"B","G","C","F","G","G","H","G","A","B","C","G","C","C"
"B","F","C","B","G","G","H","A","B","F","B","H","G","G"
"U","F","C","B","C","G","H","B","B","G","B","F","C","C"
"U","U","U","B","G","U","U","F","B","C","B","N","C","C"
"U","G","C","B","G","C","H","H","B","B","B","H","C","H"
"B","F","C","H","C","G","H","H","B","F","C","H","C","C"
"U","F","G","B","G","U","B","A","U","G","B","N","G","U"
"U","G","G","B","C","G","C","A","B","C","C","N","C","G"
"U","G","G","B","G","U","C","H","B","C","C","G","C","G"
"U","G","G","B","G","C","B","H","B","G","B","N","G","C"
"B","G","C","B","G","U","G","G","B","B","C","G","C","H"
"U","G","G","B","G","G","B","G","B","B","B","F","C","C"
"U","G","G","B","G","U","B","H","B","G","C","G","C","U"
"U","G","G","B","G","G","B","H","B","G","B","N","G","C"
"B","G","C","A","G","G","A","H","B","G","B","H","C","C"
"U","G","C","A","G","G","H","H","B","F","C","F","C","C"
"B","F","G","B","G","G","B","A","B","G","B","C","G","H"
"B","G","C","B","G","G","H","A","F","G","B","H","C","H"
"U","G","G","B","G","G","H","F","B","F","B","F","G","C"
"U","G","G","A","G","G","A","B","C","F","B","F","C","C"
"U","F","G","G","G","G","G","G","F","G","C","G","C","C"
"B","G","G","B","G","G","C","G","B","F","B","F","G","C"
